# Generated by build_examples.py. Columns: polish <TAB> english <TAB> sentence.
być	to be	Chcę **być** lekarzem.
nie	no	To **nie** jest moje.
się	myself	Boję **się** psa.
ten	this	**Ten** dom jest duży.
mieć	to have	Mam **mieć** jutro wolne.
ale	but	Chcę kawę, **ale** bez cukru.
jak	how	**Jak** masz na imię?
tak	yes	**Tak**, idę z tobą.
który	which	To jest dzień, **który** pamiętam.
przez	by	Idę **przez** park.
móc	to be able to	Dziś mogę **móc** więcej.
ona	she	**Ona** mieszka tutaj.
przy	near, by	Siedzę **przy** oknie.
tylko	just	Mam **tylko** jedną książkę.
bardzo	very	To jest **bardzo** dobre.
już	already	Jestem **już** w domu.
rok	year	Za **rok** pojadę do Gdańska.
człowiek	person, human	Każdy **człowiek** chce spokoju.
gdy	when	Dzwonię, **gdy** wrócę.
czy	whether	**Czy** masz czas?
dla	for	To jest prezent **dla** mamy.
też	too	Ja **też** chcę lody.
jeden	one	Mam tylko **jeden** bilet.
wszystko	all	Widzę **wszystko** przez okno.
sobie	oneself	Kupuję **sobie** chleb.
taki	such	To jest **taki** problem.
gdzie	where	**Gdzie** mieszkasz?
kiedy	when	**Kiedy** wracasz?
jeszcze	still	On **jeszcze** śpi.
nawet	even	**Nawet** ja to wiem.
dzień	day	Dobry **dzień**!
wiedzieć	to know	Ja **wiem** to dobrze.
czas	time	Nie mam **czasu**.
oni	they	**Oni** są tutaj.
ono	it	**Ono** jest małe.
chcieć	to want	**Chcę** kawę.
teraz	now	Jestem **teraz** w domu.
bez	without	W ogrodzie pachnie **bez**.
dobry	good	To jest **dobry** film.
nowy	new	Mam **nowy** telefon.
tam	there	Mieszkam **tam**.
jego	his	To jest **jego** rower.
mój	my	To jest **mój** pokój.
duży	big	To jest **duży** pies.
mały	small	Mam **mały** kot.
praca	work	Moja **praca** jest trudna.
życie	life	**Życie** jest piękne.
dom	house	Mój **dom** jest blisko.
świat	world	**Świat** jest duży.
robić	to do	Co **robisz**?
iść	to go	**Idę** do domu.
pod	under	Kot śpi **pod** stołem.
sposób	way	To dobry **sposób**.
znać	to know (someone)	**Znam** Annę.
dwa	two	Mam **dwa** jabłka.
razem	together	Idziemy **razem**.
inny	other	Chcę **inny** kubek.
mówić	to speak	**Mówię** po polsku.
woda	water	Piję **wodę**.
oko	eye	Mam bolące **oko**.
ręka	hand	Podnieś **rękę**.
kobieta	woman	Ta **kobieta** jest miła.
mężczyzna	man	Ten **mężczyzna** biegnie.
dziecko	kid	**Dziecko** śpi.
miejsce	place	To dobre **miejsce**.
miasto	city	Warszawa to duże **miasto**.
kraj	country	Polska to mój **kraj**.
droga	road, way	Ta **droga** jest długa.
głowa	head	Boli mnie **głowa**.
strona	side	Zapisz to na drugiej **stronie**.
myśleć	to think	**Myślę** o domu.
widzieć	to see	**Widzę** psa.
dawać	to give	Mama **daje** mi sok.
brać	to take	**Biorę** torbę.
znaleźć	to find	Muszę **znaleźć** klucze.
zrobić	to do (perfective)	Muszę **zrobić** zadanie.
powiedzieć	to say	Ona chce **powiedzieć** prawdę.
dużo	a lot	Mam **dużo** książek.
mało	little	Dziś mam **mało** czasu.
trzeba	one must	Tutaj **trzeba** czekać.
można	you can	Tu **można** usiąść.
zawsze	always	On **zawsze** rano biega.
nigdy	never	Ja **nigdy** nie palę.
często	often	Ona **często** czyta książki.
czasem	sometimes	Ja **czasem** piję herbatę.
rzadko	rarely	On **rzadko** je mięso.
znowu	again	Pada **znowu**.
jeśli	if	**Jeśli** chcesz, idziemy.
więc	so	Jest zimno, **więc** idę.
dlatego	which is why	Jestem chory, **dlatego** zostaję.
ponieważ	because	Idę spać, **ponieważ** jestem zmęczony.
chociaż	though	**Chociaż** pada, idziemy.
jednak	however	Chciałem iść, **jednak** zostałem.
oczywiście	of course	**Oczywiście** pomogę ci.
naprawdę	really	To jest **naprawdę** dobre.
może	maybe	**Może** jutro przyjdę.
pewnie	sure	**Pewnie** masz rację.
prawie	almost	Jestem **prawie** gotowy.
całkiem	quite	To jest **całkiem** łatwe.
zupełnie	completely	Jestem **zupełnie** sam.
trochę	a bit	Chcę **trochę** herbaty.
więcej	more	Poproszę **więcej** chleba.
mniej	less	Daj mi **mniej** cukru.
najlepszy	best	To jest **najlepszy** sok.
lepszy	better	Ten film jest **lepszy**.
gorszy	worse	Ten wynik jest **gorszy**.
pierwszy	first	To mój **pierwszy** dzień.
drugi	second	To mój **drugi** kubek.
ostatni	last	To jest **ostatni** kawałek.
następny	next	Mój **następny** przystanek.
cały	whole	Zjadłem **cały** jabłko.
każdy	each, every	**Każdy** uczeń czyta.
żaden	none	**Żaden** bilet nie został.
kilka	several	Mam **kilka** jabłek.
wiele	many	Mam **wiele** zadań.
sam	alone	Jestem **sam** w domu.
dobrze	well	Dziś czuję się **dobrze**.
źle	badly	On śpi **źle**.
szybko	quick	Biegam **szybko**.
wolno	slow	Pies idzie **wolno**.
łatwo	easily	To zadanie idzie **łatwo**.
trudno	it's difficult	Tu jest **trudno**.
matka	mother	Moja **matka** gotuje.
ojciec	father	Mój **ojciec** pracuje.
syn	son	Mój **syn** śpi.
córka	daughter	Moja **córka** lubi lody.
brat	brother	Mój **brat** gra w piłkę.
siostra	sister	Moja **siostra** czyta książkę.
rodzina	family	Moja **rodzina** je obiad.
przyjaciel	friend	Mój **przyjaciel** mieszka blisko.
mama	mum	Moja **mama** gotuje zupę.
tata	dad	Mój **tata** pracuje dziś.
noc	night	W **nocy** śpię spokojnie.
rano	in the morning	**Rano** piję herbatę.
wieczór	evening	**Wieczorem** oglądam film.
tydzień	week	Za **tydzień** mam lekcję.
miesiąc	month	Ten **miesiąc** jest krótki.
godzina	hour	Mam jedną **godzinę** wolnego.
minuta	minute	Poczekaj **minutę**.
chwila	one sec	**Chwila**, już idę.
dzisiaj	today	**Dzisiaj** pada deszcz.
wczoraj	yesterday	**Wczoraj** byłem w domu.
jutro	tomorrow	**Jutro** idę do szkoły.
jedzenie	food	To **jedzenie** jest dobre.
chleb	bread	Kupuję **chleb** w sklepie.
mleko	milk	Piję **mleko** codziennie.
kawa	coffee	Piję **kawę** rano.
herbata	tea	Lubię **herbatę** z cytryną.
piwo	beer	On pije **piwo** z kolegą.
wino	wine	To **wino** jest czerwone.
sok	juice	Piję **sok** rano.
mięso	meat	Lubię **mięso** z obiadem.
ryba	fish	Ta **ryba** jest świeża.
owoc	fruit	Ten **owoc** jest słodki.
warzywo	vegetable	To **warzywo** jest zielone.
jabłko	apple	Mam czerwone **jabłko**.
ziemniak	potato	Jem **ziemniak** z masłem.
ser	cheese	Kupiłem **ser** na śniadanie.
jajko	egg	To **jajko** jest ugotowane.
cukier	sugar	Dodaję **cukier** do herbaty.
sól	salt	Podaj mi **sól**.
masło	butter	Na chlebie jest **masło**.
zupa	soup	Ta **zupa** jest gorąca.
obiad	lunch	Mamy dobry **obiad**.
śniadanie	breakfast	Jem **śniadanie** o ósmej.
kolacja	dinner	Jemy **kolację** o osiemnastej.
jeść	to eat	Lubię **jeść** owoce.
pić	to drink	Chcę **pić** wodę.
gotować	to cook	Lubię **gotować** zupę.
kupować	to buy	Muszę **kupować** chleb.
sklep	store	Idę do **sklepu**.
pieniądze	money	Nie mam **pieniędzy**.
cena	price	Ta **cena** jest dobra.
drogi	dear	To jest **drogi** prezent.
tani	cheap	To jest **tani** chleb.
płacić	to pay	Muszę **płacić** za bilet.
kosztować	to cost	To ciasto **kosztuje** pięć złotych.
samochód	car	Mój **samochód** jest czerwony.
pociąg	train	Ten **pociąg** jest szybki.
autobus	bus	Czekam na **autobus**.
samolot	plane	Lecę dziś **samolotem**.
rower	bicycle	Mój **rower** stoi pod domem.
ulica	street	Ta **ulica** jest długa.
sklepik	corner shop	Idę do **sklepiku** po chleb.
szkoła	school	Moja **szkoła** jest blisko.
nauczyciel	teacher	Nasz **nauczyciel** jest miły.
uczeń	pupil	Ten **uczeń** pisze dobrze.
student	student	Mój brat jest **studentem**.
uczyć	to teach	Mama **uczy** mnie angielskiego.
uczyć się	to learn	**Uczę się** polskiego.
książka	book	Ta **książka** jest ciekawa.
zeszyt	notebook	Mój **zeszyt** leży na stole.
długopis	pen	Nie mam **długopisu**.
ołówek	pencil	Potrzebuję **ołówka**.
lekcja	lesson	Dziś mamy trudną **lekcję**.
egzamin	exam	Jutro mam **egzamin**.
pytanie	question	Mam jedno **pytanie**.
odpowiedź	answer	Twoja **odpowiedź** jest dobra.
słowo	word	To **słowo** jest nowe.
język	tongue	Wysuń **język**.
zdanie	sentence, opinion	To jest moje **zdanie**.
czytać	to read	Lubię **czytać** wieczorem.
pisać	to write	**Piszę** list.
liczyć	to count	Dziecko **liczy** palce.
rozumieć	to understand	Nie **rozumiem** pytania.
pamiętać	to remember	**Pamiętam** twoje imię.
zapomnieć	to forget	Nie chcę **zapomnieć**.
pomagać	to help	**Pomagam** bratu.
pracować	to work	Tata **pracuje** dziś.
odpoczywać	to rest	Po pracy **odpoczywam**.
spać	to sleep	Dziecko **śpi**.
wstawać	to get up	Muszę **wstawać** rano.
siadać	to sit down	Proszę **siadać** tutaj.
stać	to stand	**Stoję** przy oknie.
chodzić	to walk	Lubię **chodzić** do parku.
jechać	to travel, to drive	**Jadę** autobusem.
biegać	to run	Rano **biegam** w parku.
pływać	to swim	Latem **pływam** w jeziorze.
latać	to fly	Ptaki **latają** wysoko.
otwierać	to open	**Otwieram** drzwi.
zamykać	to close	**Zamykam** okno.
zaczynać	to start	Lekcja **zaczyna się** o ósmej.
kończyć	to finish	**Kończę** pracę.
czekać	to wait	**Czekam** na autobus.
szukać	to look for	**Szukam** kluczy.
pokazywać	to show	Mama **pokazuje** zdjęcie.
słuchać	to listen	Dziecko **słucha** muzyki.
słyszeć	to hear	Ja **słyszę** hałas.
patrzeć	to look	Ona **patrzy** na psa.
kochać	to love	On **kocha** mamę.
lubić	to like	Lubię **lubić**?
nienawidzić	to hate	On **nienawidzi** brudu.
bać się	to be afraid	**Boję się** psa.
śmiać się	to laugh	Dzieci **śmieją się** głośno.
płakać	to cry	Dziecko zaczęło **płakać**.
cieszyć się	to enjoy	Dzieci **cieszą się** z wakacji.
martwić się	to worry	Mama **martwi się** o syna.
dziękować	to thank you	Ja **dziękuję** za pomoc.
prosić	to ask, to request	Proszę, **proszę** o wodę.
przepraszać	to apologize	Przepraszam, **przepraszam** za spóźnienie.
witać	to welcome	Babcia **wita** gości.
żegnać	to say goodbye	Ona **żegna** kolegę.
dzwonić	to call	Tata **dzwoni** do pracy.
pisać wiadomość	write a message	Muszę **pisać wiadomość**.
spotykać	to meet	Codziennie **spotykam** kolegę.
poznawać	to get to know	Dzisiaj **poznaję** nową klasę.
zapraszać	to invite	Zapraszam cię **zapraszam** na obiad.
pomoc	help	Potrzebuję **pomocy**.
problem	problem	To jest mały **problem**.
sprawa	matter, affair	To moja **sprawa**.
powód	reason	Jaki jest **powód** spóźnienia?
wynik	result	**Wynik** meczu był dobry.
przykład	example	To jest dobry **przykład**.
rzecz	thing	To jest moja **rzecz**.
część	part	To jest **część** domu.
grupa	group	Ta **grupa** śpiewa.
liczba	number	Ta **liczba** jest duża.
poziom	level	Mój **poziom** języka rośnie.
stan	state, condition	Mój **stan** jest dobry.
zmiana	change	Widzę dużą **zmianę**.
możliwość	possibility	Mam **możliwość** wyjścia.
potrzeba	need	Mam **potrzebę** snu.
pomysł	idea	Mam dobry **pomysł**.
plan	plan	Mamy **plan** na jutro.
cel	objective	Mój **cel** jest jasny.
wybór	choice	To trudny **wybór**.
decyzja	decision	To była dobra **decyzja**.
prawo	law, right	Skręć w **prawo**.
władza	power	**Władza** zmieniła zasady.
rząd	government	**Rząd** podał nowe informacje.
państwo	state, country	To **państwo** jest duże.
firma	business	Ta **firma** sprzedaje buty.
pracownik	employee	Ten **pracownik** jest miły.
szef	boss	Mój **szef** jest dziś w biurze.
klient	client	Ten **klient** czeka w kolejce.
umowa	contract	Podpisaliśmy **umowę** wczoraj.
spotkanie	meeting	Mam **spotkanie** o trzeciej.
projekt	design	To jest mój **projekt** domu.
zadanie	task	To **zadanie** jest łatwe.
wiadomość	message	Dostałem **wiadomość** od mamy.
gazeta	newspaper	Czytam **gazetę** rano.
telewizja	tv	Oglądam **telewizję** wieczorem.
radio	radio	Słucham **radia** w aucie.
film	movie	Ten **film** jest ciekawy.
muzyka	music	Lubię tę **muzykę**.
piosenka	song	Ta **piosenka** jest piękna.
gra	game	Ta **gra** jest trudna.
sport	sport	Lubię **sport**.
mecz	match	Dzisiaj jest **mecz**.
drużyna	team	Nasza **drużyna** wygrała.
zwierzę	animal	To **zwierzę** jest duże.
pies	dog	Mój **pies** śpi.
kot	cat	Mój **kot** je.
ptak	bird	Ten **ptak** lata.
drzewo	tree	To **drzewo** jest wysokie.
kwiat	flower	Ten **kwiat** pachnie ładnie.
las	forest	Idziemy do **lasu**.
góra	mountain	Ta **góra** jest wysoka.
morze	sea	Latem jadę nad **morze**.
rzeka	river	Ta **rzeka** jest szeroka.
jezioro	lake	To **jezioro** jest bardzo duże.
pole	field	Na **polu** rośnie zboże.
niebo	sky	Dziś **niebo** jest niebieskie.
słońce	sun	**Słońce** świeci mocno.
księżyc	moon	**Księżyc** świeci nocą.
gwiazda	star	Na niebie widać **gwiazdę**.
deszcz	rain	**Deszcz** pada od rana.
śnieg	snow	Dziś pada **śnieg**.
wiatr	wind	Silny **wiatr** wieje dziś.
chmura	cloud	Na niebie jest jedna **chmura**.
pogoda	weather	Dziś **pogoda** jest dobra.
ciepło	warmth, warm	W domu jest **ciepło**.
zimno	cold	Na dworze jest **zimno**.
gorąco	hot	Latem jest **gorąco**.
ciepły	warm	Mam **ciepły** sweter.
