# Vocabulary presets. Columns:
#   id, category, select_type, select_arg, popularity, icon, color, title_en, title_pl, desc_en, desc_pl
# select_type: frequency (arg = how many of the most common words) | topic (arg = tag) | pos (arg = part of speech)
# popularity: editorial ranking used by the "most popular" sort; lower comes first.
top-100	frequency	frequency	100	1	trending_up	#2E7D32	Top 100	Top 100	The hundred words you will meet first in almost any Polish sentence.	Sto słów, które spotkasz w niemal każdym polskim zdaniu.
top-250	frequency	frequency	250	2	trending_up	#2E7D32	Top 250	Top 250	Enough everyday vocabulary to follow the shape of a simple conversation.	Słownictwo wystarczające, by nadążyć za prostą rozmową.
top-500	frequency	frequency	500	3	trending_up	#2E7D32	Top 500	Top 500	The core of spoken Polish, covering most of what you hear day to day.	Rdzeń mówionej polszczyzny, obecny w codziennych rozmowach.
top-1000	frequency	frequency	1000	4	trending_up	#2E7D32	Top 1000	Top 1000	A working everyday vocabulary for reading and conversation.	Praktyczne słownictwo do czytania i rozmowy.
phrases	everyday-life	pos	expr	5	record_voice_over	#EF6C00	Phrases	Zwroty	What you actually say: asking, ordering, apologising and finding your way.	To, co naprawdę mówisz: pytania, zamówienia, przeprosiny i pytanie o drogę.
greetings	everyday-life	topic	greetings	10	waving_hand	#EF6C00	Greetings	Powitania	Hello, goodbye, thank you — the phrases every conversation starts with.	Cześć, do widzenia, dziękuję — od tego zaczyna się rozmowa.
introductions	everyday-life	topic	introductions	11	person_add	#EF6C00	Introductions	Przedstawianie się	Saying who you are, where you are from and what you do.	Kim jesteś, skąd pochodzisz i czym się zajmujesz.
daily-conversation	everyday-life	topic	daily-conversation	12	chat	#EF6C00	Daily conversation	Codzienna rozmowa	The connectors and fillers that hold spoken Polish together.	Zwroty i spójniki, które spajają mówioną polszczyznę.
family	everyday-life	topic	family	13	family_restroom	#EF6C00	Family	Rodzina	Parents, siblings, grandparents and the wider family.	Rodzice, rodzeństwo, dziadkowie i dalsza rodzina.
relationships	everyday-life	topic	relationships	14	favorite	#EF6C00	Relationships	Relacje	Friendship, love, weddings and the words in between.	Przyjaźń, miłość, ślub i wszystko pomiędzy.
home	everyday-life	topic	home	15	home	#EF6C00	Home	Dom	Rooms, furniture and the parts of a flat or house.	Pokoje, meble i części mieszkania lub domu.
household	everyday-life	topic	household	16	cleaning_services	#EF6C00	Household	Gospodarstwo domowe	Cleaning, laundry and the appliances that do them.	Sprzątanie, pranie i sprzęty, które w tym pomagają.
