# Mastery (C2) vocabulary: literary, formal and idiomatic register — the words a near-native
# reader meets in essays, journalism and fiction rather than in conversation.
dezynwoltura	nonchalance	n	C2	personality
nonszalancja	casualness	n	C2	personality
pieczołowitość	care	n	C2	personality
skrupuły	scruple	n	C2	personality
sumienność	conscientiousness	n	C2	work
rzetelność badawcza	research reliability	n	C2	university
dociekanie	inquiry	n	C2	university
rozterka	indecision	n	C2	emotions
dylemat	fix	n	C2	meetings
rozdźwięk	discord	n	C2	relationships
niesnaski	friction	n	C2	relationships
waśń	feud	n	C2	relationships
zatarg	conflict	n	C2	law
polemika	polemics	n	C2	books
dysputa	debate	n	C2	university
dygresja	digression	n	C2	books
wywód	line of argument	n	C2	university
przewód myślowy	thought conduit	n	C2	studying
konkluzja	conclusion	n	C2	meetings
puenta	punch line	n	C2	books
morał	moral	n	C2	books
sentencja	sentence	n	C2	books
aforyzm	aphorism	n	C2	books
truizm	truism	n	C2	daily-conversation
banał	banality	n	C2	daily-conversation
frazes	cliche	n	C2	politics
eufemizm	euphemism	n	C2	books
hiperbola	hyperbole	n	C2	books
oksymoron	oxymoron	n	C2	books
peryfraza	periphrasis	n	C2	books
archaizm	archaism	n	C2	books
neologizm	neologism	n	C2	books
zapożyczenie	borrowing	n	C2	books
kalka językowa	linguistic tracing paper	n	C2	books
idiom	idiom	n	C2	books
frazeologizm	phraseology	n	C2	books
składnia zdania	sentence syntax	n	C2	books
stylistyka	stylistics	n	C2	books
patos	pathos	n	C2	books
groteska	grotesque	n	C2	books
pastisz	pastiche	n	C2	books
parodia	parody	n	C2	movies
satyra	satire	n	C2	books
kpina	mockery	n	C2	daily-conversation
drwina	derision	n	C2	daily-conversation
szyderstwo	sneer	n	C2	emotions
uszczypliwość	causticity	n	C2	personality
złośliwość	malice	n	C2	personality
przytyk	dig, jibe	n	C2	daily-conversation
docinek	jeer	n	C2	daily-conversation
enigmatyczny	enigmatic	adj	C2	personality
lakoniczny	curt	adj	C2	daily-conversation
rozwlekły	wordy	adj	C2	books
zawiły	intricate	adj	C2	law
pokrętny	twisting	adj	C2	politics
mglisty	foggy	adj	C2	weather
dosłowny	literal	adj	C2	books
przenośny	portable	adj	C2	books
kunsztowny	ingenious	adj	C2	hobbies
wyszukany	sophisticated	adj	C2	clothing
wykwintny	exquisite	adj	C2	food
wystawny	sumptuous	adj	C2	food
skromny w formie	modest in form	adj	C2	clothing
oszczędny w słowach	sparing in words	adj	C2	personality
dobitny	distinct	adj	C2	meetings
sugestywny	suggestive	adj	C2	movies
przejmujący	poignant	adj	C2	movies
wzruszający	moving	adj	C2	movies
porażający	shocking	adj	C2	emotions
druzgocący	crushing	adj	C2	sports
miażdżący	overwhelming	adj	C2	politics
niepodważalny	indisputable	adj	C2	law
niezbity	irrefutable	adj	C2	law
poszlakowy	circumstantial	adj	C2	law
znamienny	telling, characteristic	adj	C2	studying
osobliwy w formie	peculiar in form	adj	C2	books
przewrotny w zamyśle	perverse in concept	adj	C2	books
przenikliwy	penetrating	adj	C2	personality
nieodparty	irresistible	adj	C2	emotions
nieuchronny	inevitable	adj	C2
nieunikniony	unavoidable	adj	C2
nadrzędny	overriding	adj	C2	law
podrzędny	subordinate	adj	C2	law
nadobowiązkowy	optional	adj	C2	school
obligatoryjny	obligatory	adj	C2	law
fakultatywny	elective	adj	C2	university
doraźny	ad hoc	adj	C2	work
prowizoryczny	provisional	adj	C2	household
zaimprowizowany	improvised	adj	C2	music
